<>	1	2	3	4	5	6	7	8	9	10	11	12	
H	0.14592	0.15542	0.183	0.25602	0.18316	0.2009	0.25016	0.21696	0.22652	0.1875	0.20054	0.19914	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.26636	0.27586	0.3438	0.25018	0.27182	0.27006	0.39196	0.25934	0.26686	0.2407	0.28046	0.3541	
B	0.2945	0.26362	0.28886	0.25474	0.2469	0.23484	0.34312	0.2476	0.25878	0.24758	0.27634	0.35262	
C	0.26192	0.23826	0.26522	0.24684	0.25184	0.24474	0.31068	0.2477	0.25716	0.25304	0.28254	0.31318	
D	0.26734	0.25968	0.32968	0.25596	0.25586	0.26334	0.32202	0.25242	0.26296	0.2391	0.27592	0.31228	
E	0.1507	0.14774	0.27722	0.20782	0.16644	0.15278	0.21858	0.15326	0.17682	0.1331	0.21546	0.2385	
F	0.14072	0.14158	0.2559	0.2068	0.1683	0.21896	0.25084	0.17014	0.18452	0.13656	0.21372	0.24176	
G	0.14416	0.1389	0.18682	0.18188	0.14324	0.14508	0.22652	0.15556	0.19596	0.13512	0.23776	0.26942	
H	0.15008	0.16646	0.23256	0.26788	0.18496	0.20328	0.29284	0.22014	0.2382	0.18874	0.23274	0.24652	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.26874	0.2858	0.37742	0.2565	0.296	0.27918	0.44032	0.26472	0.27612	0.24304	0.29134	0.39076	
B	0.29906	0.27396	0.31188	0.26118	0.2513	0.24216	0.38002	0.2548	0.26814	0.25106	0.2884	0.39462	
C	0.26632	0.24106	0.27266	0.2512	0.27468	0.24844	0.3388	0.2527	0.2656	0.25532	0.29132	0.34952	
D	0.26978	0.26256	0.3614	0.25792	0.27016	0.26422	0.35238	0.25594	0.269	0.24038	0.28274	0.34076	
E	0.16226	0.1556	0.3107	0.22018	0.17714	0.16476	0.27254	0.16472	0.21634	0.13624	0.2505	0.29192	
F	0.14458	0.15072	0.28856	0.22216	0.18424	0.22794	0.29426	0.1841	0.22546	0.14028	0.2433	0.30086	
G	0.14874	0.1419	0.22906	0.19684	0.1511	0.15336	0.25754	0.16978	0.23522	0.1385	0.26004	0.32036	
H	0.15748	0.18698	0.26532	0.2836	0.18816	0.2084	0.34716	0.23638	0.27238	0.1901	0.25412	0.29374	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.27434	0.30438	0.42556	0.26424	0.30714	0.29356	0.50112	0.2738	0.2878	0.24388	0.30442	0.42112	
B	0.30498	0.28772	0.34634	0.2657	0.2616	0.25448	0.42488	0.25958	0.28086	0.2515	0.30034	0.43586	
C	0.2686	0.24242	0.28418	0.25328	0.28324	0.25064	0.3706	0.25288	0.27128	0.25518	0.30156	0.37354	
D	0.27358	0.2699	0.4005	0.2612	0.28492	0.27008	0.3906	0.26042	0.27962	0.2412	0.29336	0.3732	
E	0.1676	0.1634	0.34366	0.22614	0.19042	0.17156	0.32086	0.17272	0.25014	0.14172	0.27826	0.34188	
F	0.1515	0.16382	0.31894	0.22566	0.20424	0.2348	0.34194	0.20506	0.25668	0.14706	0.27056	0.34756	
G	0.1559	0.14598	0.27324	0.21122	0.15942	0.15522	0.29892	0.1858	0.27498	0.14446	0.27814	0.37276	
H	0.16888	0.20792	0.30246	0.28876	0.19224	0.21728	0.38704	0.25488	0.295	0.19288	0.28426	0.35364	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.27906	0.32418	0.48088	0.26314	0.32116	0.30412	0.5715	0.28032	0.30246	0.24904	0.32118	0.44244	
B	0.31244	0.30774	0.38932	0.27224	0.27084	0.27142	0.48192	0.26566	0.29468	0.25626	0.31774	0.46174	
C	0.27282	0.24642	0.30248	0.25676	0.29472	0.25046	0.41336	0.2576	0.28004	0.25824	0.31086	0.40006	
D	0.27884	0.27734	0.45054	0.26558	0.29636	0.28276	0.44008	0.26396	0.2882	0.24374	0.3066	0.41392	
