<>	1	2	3	4	5	6	7	8	9	10	11	12	
H	0.45974	0.50174	0.52882	0.4161	0.39878	0.4318	0.46998	0.41782	0.4813	0.48416	0.44542	0.46776	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.4547	0.41422	0.42886	0.4658	0.43902	0.403	0.4847	0.42296	0.42644	0.44952	0.40652	0.43066	
B	0.50756	0.47826	0.47804	0.50802	0.48396	0.45776	0.53372	0.45974	0.49454	0.4982	0.4691	0.4243	
C	0.48402	0.46532	0.43414	0.43926	0.42036	0.40514	0.44208	0.43264	0.42802	0.44094	0.41662	0.44568	
D	0.55742	0.44	0.45704	0.43078	0.46032	0.44074	0.48492	0.49452	0.46634	0.49982	0.46644	0.46254	
E	0.5763	0.59668	0.5535	0.56108	0.60546	0.57284	0.6212	0.5785	0.57752	0.636	0.5746	0.59946	
F	0.5324	0.5829	0.5945	0.52186	0.57406	0.43118	0.63338	0.51844	0.56376	0.62726	0.51864	0.57348	
G	0.48128	0.51596	0.51396	0.45672	0.49414	0.47182	0.47634	0.474	0.48868	0.48836	0.45658	0.46532	
H	0.48342	0.53626	0.56338	0.43482	0.47606	0.4388	0.48824	0.4352	0.50304	0.49876	0.46346	0.48424	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.47246	0.42482	0.43206	0.48092	0.4657	0.40092	0.49258	0.42884	0.43092	0.45708	0.41292	0.43726	
B	0.54192	0.49996	0.49736	0.53218	0.50342	0.47596	0.55522	0.47538	0.51356	0.5228	0.4864	0.4364	
C	0.45856	0.46668	0.44114	0.44548	0.42328	0.43836	0.44552	0.4369	0.43192	0.4483	0.4203	0.44762	
D	0.49282	0.4512	0.4691	0.43968	0.4779	0.39516	0.49556	0.51562	0.47854	0.52292	0.48376	0.47678	
E	0.61766	0.63936	0.59122	0.59378	0.6465	0.56574	0.65312	0.60712	0.60886	0.67734	0.60964	0.63268	
F	0.56756	0.63574	0.63938	0.5472	0.6116	0.50618	0.67298	0.54108	0.59012	0.65746	0.54634	0.60384	
G	0.4469	0.5512	0.54362	0.47578	0.52142	0.49876	0.49278	0.48578	0.50746	0.51198	0.47892	0.48504	
H	0.51446	0.58016	0.6059	0.45628	0.50772	0.45736	0.5055	0.45974	0.52382	0.5239	0.48418	0.50536	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.49002	0.40542	0.4389	0.50396	0.47216	0.39828	0.50488	0.43912	0.43354	0.4692	0.4174	0.4461	
B	0.5815	0.52594	0.52454	0.5935	0.53402	0.50596	0.57568	0.49304	0.5352	0.55238	0.50462	0.45436	
